"","deed","url"
"24","Petition of Mildred E. Ewell, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00024.html"
"25","Petition of William H. Langley, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00021.html"
"26","Petition of Eglantine Randolph, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00031.html"
"27","Petition of Josiah Melvin, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00010.html"
"28","Petition of Joseph Harbaugh, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00015.html"
"29","Petition of Mary Ann Kerr and Henrietta Kerr, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00030.html"
"30","Petition of Edward Deeble, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00026.html"
"31","Petition of Sarah Boreman, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00016.html"
"32","Petition of Sarah Jane O'Brien, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00013.html"
"33","Petition of Thomas Donoho, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00035.html"
"34","Petition of George Bender, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00027.html"
"35","Petition of James Rhodes, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00022.html"
"36","Petition of James Tucker, 5 May 1862","https://civilwardc.org/texts/petitions/cww.00014.html"
"37","Petition of Benjamin J. Fenwick, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00056.html"
"38","Petition of Marinus Willett, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00042.html"
"39","Petition of Charles Myers, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00051.html"
"40","Petition of John Davidson, May 6,1862","https://civilwardc.org/texts/petitions/cww.00052.html"
"41","Petition of Jenkin Thomas, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00055.html"
"42","Petition of John E. Carter, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00049.html"
"43","Petition of Jonathan Prout, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00046.html"
"44","Petition of George Savage, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00037.html"
"45","Petition of David Rawlings, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00059.html"
"46","Petition of Joseph Follansbee, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00041.html"
"47","Petition of Robert E. Taylor, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00069.html"
"48","Petition of John H. Wise, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00060.html"
"49","Petition of Ann E. Robertson, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00047.html"
"50","Petition of John M. Williams, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00050.html"
"51","Petition of George W. Cissell, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00067.html"
"52","Petition of Margaret A. Goddard, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00045.html"
"53","Petition of Louisa Kearney, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00043.html"
"54","Petition of Thomas Carbery, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00039.html"
"55","Petition of William T. Doniphan,6 May 1862","https://civilwardc.org/texts/petitions/cww.00064.html"
"56","Petition of Mary Ann Haslup, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00070.html"
"57","Petition of Lucy A.M. Counselman, 6 May 1862 ","https://civilwardc.org/texts/petitions/cww.00066.html"
"58","Petition of Benjamin Berry, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00063.html"
"59","Petition of Mary Moore, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00038.html"
"60","Petition of Drusilla Gray, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00054.html"
"61","Petition of James N. Ball, 6 May 1862 ","https://civilwardc.org/texts/petitions/cww.00058.html"
"62","Petition of Thomas B. Dawson, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00053.html"
"63","Petition of Robert Prout, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00040.html"
"64","Petition of Henry Hatton, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00061.html"
"65","Petition of Thomas Scrivener, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00062.html"
"66","Petition of Marshall Brown, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00068.html"
"67","Petition of Sarah Ann Beall, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00057.html"
"68","Petition of James Riordan, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00065.html"
"69","Petition of Thomas Carbery executor of R.H. Boarman, 6
                    May 1862","https://civilwardc.org/texts/petitions/cww.00044.html"
"70","Petition of Ann Robertson, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00048.html"
"71","Petition of Charles Vinson, 6 May 1862","https://civilwardc.org/texts/petitions/cww.00036.html"
"72","Petition of Nathan C. McKnew, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00087.html"
"73","Petition of Caroline V. Spalding, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00082.html"
"74","Petition of Samuel Norment, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00083.html"
"75","Petition of Anna Bradley, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00077.html"
"76","Petition of Eleazer Lindsley, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00086.html"
"77","Petition of Augustus E. L. Keese, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00088.html"
"78","Petition of James Walters, Guardian of George D.
                    Walters, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00079.html"
"79","Petition of Jonathan Kirkwood, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00072.html"
"80","Petition of Edwin Colton, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00075.html"
"81","Petition of Mary Ann Hall, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00181.html"
"82","Petition of Henry L. Abbot, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00073.html"
"83","Petition of Martha Manning, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00071.html"
"84","Petition of Robert L. Teel, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00089.html"
"85","Petition of James Walters, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00080.html"
"86","Petition of Lewis Brooks, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00085.html"
"87","Petition of Caroline V. Walters, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00081.html"
"88","Petition of Thomas Talbert, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00076.html"
"89","Petition of Thomas Woodward, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00074.html"
"90","Petition of Marial H. Williams, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00084.html"
"91","Petition of Perry E. Brocchus, 7 May 1862","https://civilwardc.org/texts/petitions/cww.00078.html"
"92","Petition of Christiana Larner, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00107.html"
"93","Petition of Horace S. Johnston, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00114.html"
"94","Petition of Ann Kelly, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00101.html"
"95","Petition of Artimesia Bean, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00092.html"
"96","Petition of Eliza G. Moreland, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00095.html"
"97","Petition of Maria A. Queen, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00091.html"
"98","Petition of James Edelin, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00100.html"
"99","Petition of Benjamin B. Burr, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00096.html"
"100","Petition of Catharine Windsor, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00115.html"
"101","Petition of Dickinson Nailor, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00104.html"
"102","Petition of A. Richards, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00097.html"
"103","Petition of Sarah Jones, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00094.html"
"104","Petition of John P. Pepper, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00111.html"
"105","Petition of Elizabeth E. Cassell, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00105.html"
"106","Petition of Coleby Young and Sarah A. Young, 8 May
                    1862","https://civilwardc.org/texts/petitions/cww.00106.html"
"107","Petition of Benjamin T. Thorn, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00102.html"
"108","Petition of Jacob Hines, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00290.html"
"109","Petition of John T. Kelly, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00108.html"
"110","Petition of Edward Chapman, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00103.html"
"111","Petition of Caroline Mackall, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00110.html"
"112","Petition of Thomas A. King, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00109.html"
"113","Petition of Joseph Downing, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00122.html"
"114","Petition of John Thomas and Eliza Thomas, 8 May
                    1862","https://civilwardc.org/texts/petitions/cww.00090.html"
"115","Petition of John W. Woodward, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00113.html"
"116","Petition of Fannie Parker, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00099.html"
"117","Petition of Isabel Cissel, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00093.html"
"118","Petition of Margaret Ann Pierce, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00098.html"
"119","Petition of Christopher Cammack, 8 May 1862","https://civilwardc.org/texts/petitions/cww.00112.html"
"120","Petition of Frances S. Walsh, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00143.html"
"121","Petition of Owen Leddy, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00126.html"
"122","Petition of Horatio Moran, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00123.html"
"123","Petition of T. L. Alexander, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00129.html"
"124","Petition of Sally Murray and Martin King, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00128.html"
"125","Petition of Thomas R. Bird, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00120.html"
"126","Petition of Green Adams, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00127.html"
"127","Petition of Samuel A. H. Marks, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00145.html"
"128","Petition of Sophia M. White, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00131.html"
"129","Petition of Berhard W. Reed, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00125.html"
"130","Petition of John Kulp, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00141.html"
"131","Petition of Richard A. Boarman, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00166.html"
"132","Petition of Clement Weeden, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00144.html"
"133","Petition of John Bayne, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00136.html"
"134","Petition of William Richards, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00124.html"
"135","Petition of Martha H. McKnight, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00139.html"
"136","Petition of Elizabeth A. Hilleary, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00132.html"
"137","Petition of William Wilkinson, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00119.html"
"138","Petition of Milton Garrett, Sarah Caldwell, Sarah
                    Virginia Zimmerman, A. M. Caldwell, and John H. Caldwell, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00130.html"
"139","Petition of John Downes, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00118.html"
"140","Petition of William B. Slack, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00142.html"
"141","Petition of Leonard Hilleary, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00134.html"
"142","Petition of Sarah Ann Hilleary, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00133.html"
"143","Petition of Rezin Arnold, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00140.html"
"144","Petition of Ann Scott, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00117.html"
"145","Petition of Sarah Davis, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00116.html"
"146","Petition of George McCeney, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00137.html"
"147","Petition of George W. Stewart, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00138.html"
"148","Petition of Robert P. Dodge, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00135.html"
"149","Petition of Martin Buell, 9 May 1862","https://civilwardc.org/texts/petitions/cww.00121.html"
"150","Petition of Everet Wroe, 10 May 1862","https://civilwardc.org/texts/petitions/cww.00238.html"
"151","Petition of John A. Wroe, 10 May 1862","https://civilwardc.org/texts/petitions/cww.00237.html"
"152","Petition of Ann Biscoe, 10 May 1862","https://civilwardc.org/texts/petitions/cww.00165.html"
"153","Petition of Alfred A. Sloan, 12 May 1862","https://civilwardc.org/texts/petitions/cww.00178.html"
"154","Petition of Emily MacGill, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00195.html"
"155","Petition of David Moore, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00168.html"
"156","Petition of Catherine Pearson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00163.html"
"157","Petition of Selby B. Scaggs, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00198.html"
"158","Petition of Margaret A. Loughborough, May 13
                    1862","https://civilwardc.org/texts/petitions/cww.00173.html"
"159","Petition of Margaret Ann Hutchinson, 13 May
                    1862","https://civilwardc.org/texts/petitions/cww.00188.html"
"160","Petition of John T. Tonge, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00160.html"
"161","Petition of Eleanor R. Lang, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00152.html"
"162","Petition of Joseph N. Fearson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00185.html"
"163","Petition of Daniel Bryan, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00183.html"
"164","Petition of Hannah M. Walker, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00199.html"
"165","Petition of Susannah Harriet Tobias, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00192.html"
"166","Petition of Christopher A. Thorn, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00193.html"
"167","Petition of John Marbury, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00184.html"
"168","Petition of John Moore, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00187.html"
"169","Petition of Robert K. Nevitt, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00197.html"
"170","Petition of Henry Martin, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00191.html"
"171","Petition of John E. Neale, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00170.html"
"172","Petition of Susanna Boarman, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00176.html"
"173","Petition of Samuel Fearson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00186.html"
"174","Petition of Thomas Carper, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00149.html"
"175","Petition of Jessee Sisson and Ann F. Sisson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00171.html"
"176","Petition of Catharine Osbourn, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00189.html"
"177","Petition of Henry T. Dixon, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00154.html"
"178","Petition of Maria Miller, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00175.html"
"179","Petition of John L. Gibbons, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00177.html"
"180","Petition of Ann E. Newton, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00148.html"
"181","Petition of Richard J. Ryon, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00161.html"
"182","Petition of Carlisle P. Patterson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00162.html"
"183","Petition of Mary C. Fenwick, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00146.html"
"184","Petition of Peter Von Essen, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00153.html"
"185","Petition of Fielder Magruder, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00190.html"
"186","Petition of Elizabeth C. Peerce, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00167.html"
"187","Petition of Sarah A. Abbott, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00179.html"
"188","Petition of Joseph Osmun, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00151.html"
"189","Petition of Lucy R. Miller, Maria Miller, Harriet Miller, and William Miller, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00174.html"
"190","Petition of Walter B. Chew, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00159.html"
"191","Petition of Samuel Stott trustee of William
                    Worthington, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00158.html"
"192","Petition of Eliza A. Gallaher, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00180.html"
"193","Petition of Mary Brien 13 May 1862","https://civilwardc.org/texts/petitions/cww.00155.html"
"194","Petition of Rosa C. Garrett, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00172.html"
"195","Petition of Elizabeth O'Reiley, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00164.html"
"196","Petition of S. John Thomson, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00150.html"
"197","Petition of James W. West and Eliza Martha West, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00169.html"
"198","Petition of Michael R. Combs, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00196.html"
"199","Petition of John W. Fitzhugh, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00182.html"
"200","Petition of Thomas T. Everett, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00156.html"
"201","Petition of Richard Butt, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00147.html"
"202","Petition of James Dobbyn, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00194.html"
"203","Petition of Samuel Stott, 13 May 1862","https://civilwardc.org/texts/petitions/cww.00157.html"
"204","Petition of Benjamin P. Smith, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00213.html"
"205","Petition of John McDermott, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00225.html"
"206","Petition of Charles R. Belt, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00223.html"
"207","Petition of Philip A. Cawood and Sarah E. Cawood, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00200.html"
"208","Petition of Enoch F. Zell, 14 May 1862","https://civilwardc.org/texts/petitions/cww.01114.html"
"209","Petition of Ann Macdaniel, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00211.html"
"210","Petition of Margaret Buchignani, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00208.html"
"211","Petition of Joseph Ehrmantrout, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00202.html"
"212","Petition of Harriet Smith, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00210.html"
"213","Petition of J. P. Taylor, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00209.html"
"214","Petition of Achsah Dorsey, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00214.html"
"215","Petition of William H. Simms, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00206.html"
"216","Petition of Jessee W. Kitchen, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00204.html"
"217","Petition of Warren Waugh, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00212.html"
"218","Petition of Thomas J. Davis, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00222.html"
"219","Petition of Otis W. Marsh, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00221.html"
"220","Petition of Charles H. Dumas and Margaret E. Shelly, 14
                    May 1862","https://civilwardc.org/texts/petitions/cww.00224.html"
"221","Petition of William H. Morrison, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00220.html"
"222","Petition of Charles T. Gardner, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00219.html"
"223","Petition of Benjamin Beall, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00218.html"
"224","Petition of Eliza Lucas, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00205.html"
"225","Petition of Ann M. Wood, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00207.html"
"226","Petition of John McDermott, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00226.html"
"227","Petition of Charles Walter, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00227.html"
"228","Petition of N. S. Shaw, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00215.html"
"229","Petition of Sabra Woodward, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00232.html"
"230","Petition of Hilleary L. Offutt, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00203.html"
"231","Petition of Benjamin F. Middleton and Benjamin Beall,
                    14 May 1862","https://civilwardc.org/texts/petitions/cww.00217.html"
"232","Petition of George Horsman, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00216.html"
"233","Petition of Gustavus Waters, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00228.html"
"234","Petition of Susanna Monroe, 14 May 1862","https://civilwardc.org/texts/petitions/cww.00201.html"
"235","Petition of William D. C. Murdock, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00233.html"
"236","Petition of Nelson Conrad, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00240.html"
"237","Petition of Mary White, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00246.html"
"238","Petition of Charlotte Kilgour and Isabella Kilgour, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00230.html"
"239","Petition of Elizabeth Birckhead, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00242.html"
"240","Petition of Robert Earl, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00245.html"
"241","Petition of John Fister, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00249.html"
"242","Petition of George W. Orme, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00236.html"
"243","Petition of Frederick Godfray Hesse, 15 May
                    1862","https://civilwardc.org/texts/petitions/cww.00243.html"
"244","Petition of George Mattingly, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00241.html"
"245","Petition of Gregory Ennis, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00231.html"
"246","Petition of John Q. Wilson, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00229.html"
"247","Petition of George Ailer, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00234.html"
"248","Petition of Patrick H. McNantz, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00248.html"
"249","Petition of Quintin Barker, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00244.html"
"250","Petition of Susan Osbourn, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00247.html"
"251","Petition of Susan K. Williams, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00235.html"
"252","Petition of Elizabeth Abbott, 15 May 1862","https://civilwardc.org/texts/petitions/cww.00239.html"
"253","Petition of Ann Scott, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00273.html"
"254","Petition of Robert M. Combs, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00258.html"
"255","Petition of Thomas A. Newman, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00274.html"
"256","Petition of Charles Hume and Anna M. Hume, 16 May
                    1862","https://civilwardc.org/texts/petitions/cww.00262.html"
"257","Petition of Mary J. Rice, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00261.html"
"258","Petition of Benjamin H. Hall, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00265.html"
"259","Petition of Sarah A. Greeves, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00259.html"
"260","Petition of Nicholas Callan, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00269.html"
"261","Petition of W. H. Birch, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00266.html"
"262","Petition of Jedediah Gittings, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00260.html"
"263","Petition of Mary A. Paine, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00268.html"
"264","Petition of Anna LeCompte, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00267.html"
"265","Petition of W. A. T. Maddox, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00270.html"
"266","Petition of William P. Trowbridge, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00254.html"
"267","Petition of Susanna Hughes, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00263.html"
"268","Petition of Anthony Thompson, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00272.html"
"269","Petition of James S. Harvey, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00251.html"
"270","Petition of Ann Harbaugh, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00256.html"
"271","Petition of Francis Dodge, Robert P. Dodge, Emily
                    Dodge, and Mary Thomson, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00255.html"
"272","Petition of Elizabeth Brown, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00257.html"
"273","Petition of George W. Barkley, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00252.html"
"274","Petition of Matthew McLeod, 16 May 1862","https://civilwardc.org/texts/petitions/cww.00271.html"
